0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:39 -0600] "GET /ProyectoFinal/ico/favicon.png HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:49 -0600] "GET /ProyectoFinal/img/works/full/image-03-full.jpg HTTP/1.1" 200 155115
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:49 -0600] "GET /ProyectoFinal/css/fancybox/fancybox_loading.gif HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:49 -0600] "GET /ProyectoFinal/css/fancybox/fancybox_overlay.png HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:49 -0600] "GET /ProyectoFinal/css/fancybox/fancybox_sprite.png HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:49 -0600] "GET /ProyectoFinal/img/works/full/image-04-full.jpg HTTP/1.1" 200 139509
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:49 -0600] "GET /ProyectoFinal/img/works/full/image-01-full.jpg HTTP/1.1" 200 121085
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:49 -0600] "GET /ProyectoFinal/img/works/full/image-02-full.jpg HTTP/1.1" 200 232048
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:51:50 -0600] "GET /ProyectoFinal/css/fancybox/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:17 -0600] "GET /ProyectoFinal/portfolio-3cols.html HTTP/1.1" 200 15373
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 200 133554
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 200 6062
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 200 23380
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/bootstrap.js HTTP/1.1" 200 64027
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.js HTTP/1.1" 200 92857
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jcarousel/jquery.jcarousel.min.js HTTP/1.1" 200 15666
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.fancybox.pack.js HTTP/1.1" 200 22758
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.fancybox-media.js HTTP/1.1" 200 5364
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/google-code-prettify/prettify.js HTTP/1.1" 200 13725
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/portfolio/setting.js HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/portfolio/jquery.quicksand.js HTTP/1.1" 200 15003
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.flexslider.js HTTP/1.1" 200 57536
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/modernizr.custom.js HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.nivo.slider.js HTTP/1.1" 200 29774
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.ba-cond.min.js HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/jquery.slitslider.js HTTP/1.1" 200 16267
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/animate.js HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/js/custom.js HTTP/1.1" 200 6083
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/works/thumbs/image-02.jpg HTTP/1.1" 200 336024
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/works/thumbs/image-01.jpg HTTP/1.1" 200 170166
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/works/thumbs/image-03.jpg HTTP/1.1" 200 233886
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/logo.png HTTP/1.1" 200 27987
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/works/thumbs/image-04.jpg HTTP/1.1" 200 195085
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/works/thumbs/image-05.jpg HTTP/1.1" 200 271370
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:18 -0600] "GET /ProyectoFinal/img/works/thumbs/image-06.jpg HTTP/1.1" 200 136279
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/portfolio-detail.html HTTP/1.1" 200 11293
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:52:26 -0600] "GET /ProyectoFinal/css/images/bg_direction_nav.png HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 304 -
